first_name,last_name,series,episode,signature_bake,technical,show_stopper,baker_age,baker_occupation,hometown,result
Annetha,Mills,1,1,Light Jamaican Black Cakewith Strawberries and Cream,2,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",30,Midwife,Essex,IN
David,Chambers,1,1,Chocolate Orange Cake,3,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",31,Entrepreneur,Milton Keynes,IN
Edd,Kimber,1,1,Caramel Cinnamon and Banana Cake,1,N/A,24,Debt collector for Yorkshire Bank,Bradford,IN
Jasminder,Randhawa,1,1,Fresh Mango and Passion Fruit Hummingbird Cake,NA,N/A,45,Assistant Credit Control Manager,Birmingham,IN
Jonathan,Shepherd,1,1,Carrot Cake with Lime and Cream Cheese Icing,9,Three Tiered White and Dark Chocolate with Almond and Cherry,25,Research Analyst,St Albans,IN
Lea,Harris,1,1,Cranberry and Pistachio Cakewith Orange Flower Water Icing,10,Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit,51,Retired,"Midlothian, Scotland",OUT
Louise,Brimelow,1,1,Carrot and Orange Cake,NA,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",44,Police Officer,Manchester,IN
Mark,Whithers,1,1,Sticky Marmalade Tea Loaf,NA,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,48,Bus Driver,South Wales,OUT
Miranda,Browne,1,1,"Triple Layered Brownie Meringue Cake
with Raspberry Cream",8,Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",IN
Ruth,Clemens,1,1,Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,NA,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles,31,Retail manager/Housewife,"Poynton, Cheshire",IN
Annetha,Mills,1,2,Rose Petal Shortbread,7,Pink Swirl Macarons / Eclairs,30,Midwife,Essex,OUT
David,Chambers,1,2,Cheddar Cheese and Fresh Rosemary Biscuits,8,Choux Pastry Swans  Chocolate Profiteroles,31,Entrepreneur,Milton Keynes,IN
Edd,Kimber,1,2,Oatmeal Raisin Cookie,6,Pink Macarons,24,Debt collector for Yorkshire Bank,Bradford,IN
Jasminder,Randhawa,1,2,Millionaires' Shortbread,2,Meringues with Chocolate and Space DustCoffee flavoured Eclairs,45,Assistant Credit Control Manager,Birmingham,IN
Jonathan,Shepherd,1,2,Honey and Candied Ginger Cookies,1,Meringues with Whiskey Cream,25,Research Analyst,St Albans,IN
Louise,Brimelow,1,2,Stained Glass Window Shortbread,4,"Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons",44,Police Officer,Manchester,OUT
Miranda,Browne,1,2,Fresh Vanilla Biscuits with Royal Icing,3,Pistachio Macarons,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",IN
Ruth,Clemens,1,2,Peanut Shortbread withSalted Peanut Caramel,5,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs,31,Retail manager/Housewife,"Poynton, Cheshire",IN
David,Chambers,1,3,Chilli Bread,4,"Walnut and Seed Roll
Red Berry and Almond Bun",31,Entrepreneur,Milton Keynes,IN
Edd,Kimber,1,3,Olive Bread,1,Tomato and Mozzarella,24,Debt collector for Yorkshire Bank,Bradford,IN
Jasminder,Randhawa,1,3,Focaccia,5,"Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots",45,Assistant Credit Control Manager,Birmingham,IN
Jonathan,Shepherd,1,3,"Anchovy, Sweet Paprika and Oregano Bread",6,"Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun",25,Research Analyst,St Albans,OUT
Miranda,Browne,1,3,Walnut and Apricot Bread,3,"Lemon Iced Buns
Chocolate and Orange Buns",37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",IN
Ruth,Clemens,1,3,Maple and Pecan Bread,2,"Chocolate and Orange Panettone
Cranberry Bagels",31,Retail manager/Housewife,"Poynton, Cheshire",IN
David,Chambers,1,4,Pear and Walnut Pudding,5,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear",31,Entrepreneur,Milton Keynes,OUT
Edd,Kimber,1,4,Apple and Plum Pudding,3,"Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer",24,Debt collector for Yorkshire Bank,Bradford,IN
Jasminder,Randhawa,1,4,Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce,2,"Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble",45,Assistant Credit Control Manager,Birmingham,IN
Miranda,Browne,1,4,Sticky Toffee Pudding,1,"Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble",37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",IN
Ruth,Clemens,1,4,Peach and Blueberry Boy Bait,4,"Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings",31,Retail manager/Housewife,"Poynton, Cheshire",IN
Edd,Kimber,1,5,"Chicken, Ham, Leek and Tarragon Pie",2,"Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés",24,Debt collector for Yorkshire Bank,Bradford,IN
Jasminder,Randhawa,1,5,Chicken and Mushroom Pie,4,"Jaggery, Carrot, and Spiced Condensed Milk Tart  Fruit and Custard Tart  Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés",45,Assistant Credit Control Manager,Birmingham,OUT
Miranda,Browne,1,5,"Summery Salmon, Cod and Prawn Fish Pie",1,"Chocolate Pastry filled with Orange Cheesecake  Chocolate Pastry filled with Milk Chocolate Ganche  Strawberry Tart with Red Currant Glaze  Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés",37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",IN
Ruth,Clemens,1,5,Minced Beef Pie,3,"Raspberry and Dark Chocolate Tart  Creme Patisserie and Cherry Tart  Citrus Curd Tart with Creme Brulee top  Tomato, Asparagus Twirl Canapés",31,Retail manager/Housewife,"Poynton, Cheshire",IN
Edd,Kimber,1,6,Cinnamon and Banana Cake,NA,,24,Debt collector for Yorkshire Bank,Bradford,WINNER
Miranda,Browne,1,6,Lemon Cupcake,NA,Eliminated after signature,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",Runner-up
Ruth,Clemens,1,6,"Mint, Ginger and Blackberry Cake",NA,,31,Retail manager/Housewife,"Poynton, Cheshire",Runner-up
Ben,Frazer,2,1,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,2,Vanilla Sponge with White Chocolate and Raspberry Buttercream,31,Graphic Designer,Northampton,IN
Holly,Bell,2,1,Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle,1,UNKNOWN,31,Advertising executive,Leicester,STAR BAKER
Ian,Vallance,2,1,Apple and Cinnamon Cupcakes,10,UNKNOWN,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",IN
Janet,Basu,2,1,Raspberry and Cream Cupcakes,8,Chocolate Marble Cakewith Dark and White Chocolate Truffles,63,Teacher of Modern Languages,"Formby, Liverpool",IN
Jason,White,2,1,Lemon Meringue CupcakesApple and Cinnamon Cupcakes,6,UNKNOWN,19,Civil Engineering Student,Croydon,IN
"""Jo""",NA,2,1,Chocolate Orange CupcakesOrange and Cardamom Cupcakes,NA,Chocolate and Strawberry Cake,NA,NA,NA,NA
Keith,Batsford,2,1,Earl Grey Cupcakes,12,Chocolate and Sour Cream Cake,31,House husband,"Arlesey, Bedfordshire",OUT
Mary-Anne,Boermans,2,1,Banoffee Cupcakes,4,Chocolate and Raspberry Opera cake,45,Housewife,"Kidderminster, Worcestershire",IN
Robert,Billington,2,1,Blackberry and Vanilla Cupcakeswith Liquorice Frosting,3,Genoise Layered Mousse Cakewith Chocolate Ganache,25,Photographer,London,IN
Simon,Blackwell,2,1,Guinness and Chocolate Cupcakes,9,Two-Tiered Chocolate Courgette Cake,31,Rugby Coach,Norfolk,IN
Urvashi,Roe,2,1,Cherry Blossom CupcakesJapanese Lime Cupcakes,7,UNKNOWN,40,Head of Marketing,"Enfield, London",IN
Yasmin,Limbert,2,1,Cardamom and Pomegranate Cupcakes,5,UNKNOWN,43,Childminder,"West Kirby, The Wirral",IN
Ben,Frazer,2,2,"Chorizo, Pepper and Gruyere Quiche",1,Lemon Meringue Tarts,31,Graphic Designer,Northampton,IN
Holly,Bell,2,2,Pesto Quiche,4,Milk Chocolate and Pistachio TartsTrifle Tarts,31,Advertising executive,Leicester,IN
Ian,Vallance,2,2,"Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",2,UNKNOWN,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",IN
Janet,Basu,2,2,Quiche Printanière,8,Red Fruit TartsChocolate and Cherry Tarts,63,Teacher of Modern Languages,"Formby, Liverpool",IN
Jason,White,2,2,Salmon and Pak Choi Quiche,3,Mint Chocolate Tarts Blueberry Bakewell Tarts,19,Civil Engineering Student,Croydon,STAR BAKER
"""Jo""",NA,2,2,"Caramelised Onion, Gruyere and Thyme Quiche",NA,Raspberry and Mascarpone Tarts with Lemon and Almond PastryHoney and Almond Tarts with Sweetcrust,NA,NA,NA,NA
Mary-Anne,Boermans,2,2,"Roasted Cauliflower, Cheese andCaramelised Onion Quiche",9,Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts,45,Housewife,"Kidderminster, Worcestershire",IN
Robert,Billington,2,2,Smoked Bacon and Kale Quiche,5,"Chocolate, Fennel and Ginger TartAlmond, Creme Patissiere and Poached Pear Tart",25,Photographer,London,IN
Simon,Blackwell,2,2,Smoked Haddock and Watercress Quiche,11,"Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts",31,Rugby Coach,Norfolk,OUT
Urvashi,Roe,2,2,"Crab, Coriander and Coconut Quiche",7,Strawberry and Basil TartsElderflower and Honeycomb Tarts,40,Head of Marketing,"Enfield, London",IN
Yasmin,Limbert,2,2,Smoked Haddock and Watercress Quiche,6,Chocolate and Orange with Cinnamon-Orange Pastry TartsBlueberry and Hazelnut with Hazelnut Pastry Tarts,43,Childminder,"West Kirby, The Wirral",IN
Ben,Frazer,2,3,"Walnut, Raisin and Rosemary Loaf",3,UNKNOWN,31,Graphic Designer,Northampton,IN
Holly,Bell,2,3,Picnic Loaf,6,Stilton and Walnut Rolls,31,Advertising executive,Leicester,IN
Ian,Vallance,2,3,"Courgette, Caerphilly Cheese and Thyme Loaf",10,Walnut and Raisin RollsCracked Wheat Logs,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",OUT
Janet,Basu,2,3,Zupfe Loaf with Gruyère Cheese,8,Apple and Walnut Granary Rolls Red Onion Cottage Rolls,63,Teacher of Modern Languages,"Formby, Liverpool",IN
Jason,White,2,3,Cheese and Onion Tear and Share Loaf,7,UNKNOWN,19,Civil Engineering Student,Croydon,IN
"""Jo""",NA,2,3,"Stromboli flavored with Mozzarella, Ham, and Picante Pepper",NA,Unknown,NA,NA,NA,NA
Mary-Anne,Boermans,2,3,Ploughman's Loaf,5,Herb and Walnut BreadsChocolate and Chilli Buns,45,Housewife,"Kidderminster, Worcestershire",IN
Robert,Billington,2,3,Rye and Coriander Seed Loaf,4,Blueberry Brioche RollsLemon and Poppy Seed Rolls,25,Photographer,London,IN
Urvashi,Roe,2,3,Salt and Peppercorn Loaf,9,Chilli and Halloumi RollsLemon and Coriander Mini Loaves,40,Head of Marketing,"Enfield, London",OUT
